ph,ec,orp,turbidite,debi,delta_basinc,sinif
7.1,2.18,340.0,38.9,4.6,0.61,biyolojik
6.83,1.47,263.0,9.6,3.16,0.572,kimyasal
7.99,2.08,292.0,0.0,2.92,0.43,kimyasal
7.29,1.54,88.0,21.1,2.74,0.252,biyolojik
5.74,1.71,105.0,18.5,2.77,0.317,biyolojik
6.5,1.49,335.0,17.5,1.93,0.664,fiziksel
6.98,1.02,421.0,7.0,2.15,0.104,kimyasal
6.51,1.23,342.0,14.1,3.97,0.242,biyolojik
7.63,3.1,151.0,22.3,2.52,0.231,kimyasal
8.55,1.67,371.0,8.6,1.44,0.406,kimyasal
7.47,1.18,432.0,32.3,3.32,0.734,fiziksel
7.23,1.24,380.0,41.2,1.72,0.655,fiziksel
8.06,1.15,343.0,42.7,1.56,0.58,fiziksel
8.2,3.2,178.0,9.1,2.66,0.55,kimyasal
7.29,2.51,291.0,15.9,2.55,0.772,kimyasal
7.66,1.09,323.0,11.9,1.02,0.234,fiziksel
5.86,0.3,153.0,20.5,2.38,0.388,biyolojik
5.53,0.44,47.0,12.9,2.88,0.095,biyolojik
8.06,1.91,199.0,12.0,1.93,0.623,kimyasal
7.44,1.42,318.0,34.9,2.6,0.533,biyolojik
7.8,1.94,319.0,23.3,2.78,0.341,kimyasal
8.54,1.51,500.0,21.6,1.27,0.497,fiziksel
8.88,3.0,462.0,10.6,3.09,0.234,kimyasal
6.74,0.88,331.0,50.4,2.02,0.723,fiziksel
7.94,2.02,142.0,12.4,1.85,0.692,kimyasal
6.53,1.76,117.0,22.7,2.98,0.369,biyolojik
5.69,0.56,162.0,30.5,3.06,0.451,biyolojik
6.55,1.48,330.0,33.8,2.58,0.497,biyolojik
8.29,3.59,329.0,15.3,2.28,0.425,kimyasal
7.56,1.24,245.0,19.1,2.35,0.418,fiziksel
7.93,1.16,312.0,32.2,2.2,0.424,biyolojik
6.82,1.05,352.0,33.4,2.75,0.527,fiziksel
8.46,1.23,293.0,1.1,3.06,0.449,kimyasal
6.55,1.73,206.0,28.1,3.43,0.353,biyolojik
6.99,1.47,312.0,39.5,0.49,0.781,fiziksel
7.65,1.35,363.0,36.0,2.6,0.766,fiziksel
5.81,0.61,297.0,36.0,2.45,0.999,fiziksel
6.37,1.3,270.0,46.9,2.75,0.652,fiziksel
6.58,1.05,418.0,0.0,3.83,0.193,normal
8.52,1.1,304.0,25.5,2.54,1.0,fiziksel
6.31,1.35,120.0,31.9,3.38,0.333,biyolojik
6.35,0.58,374.0,2.7,3.28,0.187,normal
7.64,2.93,438.0,12.6,1.79,0.16,kimyasal
8.48,3.1,376.0,7.3,1.77,0.23,kimyasal
6.93,1.08,332.0,23.5,1.84,0.454,fiziksel
6.3,1.11,290.0,13.1,1.13,0.512,fiziksel
6.93,0.55,424.0,37.2,0.52,0.483,fiziksel
6.62,1.78,207.0,14.2,2.29,0.102,biyolojik
8.73,2.55,285.0,9.1,2.77,0.417,kimyasal
6.74,1.6,440.0,18.2,1.56,0.207,fiziksel
6.47,2.04,133.0,19.3,3.24,0.509,biyolojik
8.14,1.08,462.0,45.6,3.49,1.0,fiziksel
8.74,1.59,282.0,9.8,2.54,0.278,kimyasal
7.71,0.89,459.0,36.3,2.7,0.448,fiziksel
7.82,1.93,13.0,11.7,3.44,0.349,biyolojik
6.25,2.8,209.0,12.9,2.7,0.309,biyolojik
7.58,1.65,217.0,20.5,2.22,0.205,biyolojik
8.7,2.94,282.0,12.5,2.45,0.402,kimyasal
7.76,1.56,334.0,14.6,2.97,0.485,kimyasal
7.1,1.08,241.0,23.7,3.47,0.556,biyolojik
7.51,1.3,32.0,5.7,2.18,0.247,biyolojik
6.4,2.2,174.0,28.8,2.73,0.369,biyolojik
7.29,1.2,323.0,27.3,1.9,0.712,fiziksel
6.47,0.66,316.0,4.8,4.01,0.021,normal
6.21,1.76,-50.0,25.2,2.75,0.382,biyolojik
6.43,2.15,152.0,16.7,3.01,0.266,biyolojik
7.0,0.65,445.0,29.3,1.58,0.262,fiziksel
6.59,0.62,339.0,31.2,0.89,0.213,fiziksel
7.21,1.76,180.0,3.0,1.99,0.383,biyolojik
8.15,3.57,422.0,19.1,3.83,0.603,kimyasal
7.12,0.79,427.0,30.5,1.84,0.521,fiziksel
6.49,0.68,306.0,1.4,3.18,0.1,normal
6.49,1.32,254.0,16.4,2.41,0.335,biyolojik
6.42,1.13,107.0,16.2,3.6,0.28,biyolojik
6.67,1.69,129.0,20.7,2.32,0.448,biyolojik
8.14,0.76,65.0,25.3,2.75,0.322,biyolojik
7.92,0.91,265.0,20.1,2.56,0.115,biyolojik
6.36,1.33,138.0,15.5,1.82,0.359,biyolojik
7.68,1.34,463.0,31.7,1.66,0.716,fiziksel
6.89,1.57,243.0,10.0,1.97,0.286,fiziksel
7.0,1.12,405.0,21.6,2.64,0.462,fiziksel
8.12,2.31,378.0,14.3,1.71,0.224,kimyasal
7.05,0.95,479.0,0.0,4.62,0.112,normal
7.27,2.34,207.0,8.5,2.81,0.377,kimyasal
6.72,1.38,208.0,14.9,2.95,0.103,biyolojik
7.35,0.39,330.0,0.2,4.53,0.101,normal
5.67,0.41,106.0,6.5,2.89,0.165,biyolojik
6.53,1.09,335.0,38.1,2.29,0.841,fiziksel
6.84,1.47,429.0,34.5,2.02,0.861,fiziksel
6.46,1.53,358.0,5.7,4.17,0.127,normal
7.2,1.57,388.0,38.5,2.14,0.91,fiziksel
8.16,1.99,411.0,21.9,2.25,0.635,kimyasal
7.36,0.79,375.0,34.6,0.92,0.189,fiziksel
6.48,1.25,132.0,4.8,2.9,0.206,biyolojik
6.81,0.96,160.0,9.4,3.16,0.258,biyolojik
7.51,2.74,217.0,4.4,2.76,0.156,kimyasal
5.82,2.43,291.0,12.6,2.18,0.183,biyolojik
6.67,1.54,255.0,31.2,2.79,0.76,fiziksel
5.29,1.26,184.0,31.5,3.3,0.177,biyolojik
6.48,0.79,193.0,19.2,3.29,0.422,biyolojik
6.93,1.05,382.0,2.4,3.79,0.051,normal
6.91,1.81,185.0,21.0,2.34,0.24,biyolojik
5.78,0.67,273.0,32.4,3.26,0.432,biyolojik
6.57,0.93,229.0,29.5,2.74,0.107,biyolojik
6.83,0.99,247.0,33.8,1.58,0.742,fiziksel
9.34,2.5,453.0,13.5,3.19,0.569,kimyasal
6.74,1.46,294.0,12.7,2.84,0.296,biyolojik
8.24,2.77,290.0,0.0,2.2,0.134,kimyasal
7.33,1.58,83.0,19.2,1.65,0.414,biyolojik
6.04,0.89,359.0,60.0,2.67,0.512,fiziksel
6.17,1.26,325.0,40.9,0.77,0.91,fiziksel
7.68,0.73,330.0,40.7,1.79,0.517,fiziksel
7.04,1.24,350.0,60.0,2.81,1.0,fiziksel
6.76,1.52,322.0,0.0,1.4,0.644,fiziksel
7.79,2.88,301.0,9.5,1.38,0.319,kimyasal
8.63,1.26,256.0,7.0,2.6,0.374,biyolojik
7.35,1.8,441.0,3.8,2.31,0.628,kimyasal
6.35,1.45,269.0,12.2,3.53,0.179,biyolojik
7.78,2.43,393.0,25.9,2.16,0.409,fiziksel
8.29,3.06,382.0,9.3,2.56,0.253,kimyasal
7.86,2.44,344.0,7.8,3.07,0.699,kimyasal
6.45,1.03,252.0,30.6,2.43,0.845,fiziksel
6.87,2.39,96.0,20.6,2.37,0.195,biyolojik
6.76,1.1,339.0,28.9,1.53,0.824,fiziksel
7.68,1.63,370.0,11.6,1.59,0.657,fiziksel
6.25,0.55,317.0,48.0,1.17,0.467,fiziksel
7.66,1.75,368.0,3.2,3.55,0.252,normal
6.86,0.36,287.0,3.5,0.5,0.361,fiziksel
6.77,1.16,187.0,19.4,0.69,0.826,fiziksel
6.34,0.77,196.0,21.5,4.18,0.52,biyolojik
6.98,1.66,153.0,29.8,2.81,0.45,biyolojik
6.54,1.65,123.0,43.7,3.18,0.381,biyolojik
9.15,4.16,292.0,17.3,2.46,0.42,kimyasal
7.79,2.25,295.0,14.7,2.49,0.586,kimyasal
7.01,2.94,265.0,19.4,2.62,0.337,biyolojik
5.96,1.61,215.0,21.0,2.68,0.185,biyolojik
6.04,0.86,147.0,20.1,2.78,0.332,biyolojik
6.98,1.72,-13.0,11.6,3.42,0.257,biyolojik
7.16,1.01,462.0,43.6,1.82,0.212,fiziksel
9.04,2.59,236.0,13.1,1.76,0.11,kimyasal
6.81,1.28,329.0,18.6,1.9,0.167,fiziksel
6.28,1.49,157.0,5.7,3.49,0.364,biyolojik
8.53,1.94,363.0,3.1,2.57,0.388,kimyasal
7.25,1.31,260.0,6.0,3.1,0.599,biyolojik
7.28,1.52,321.0,19.7,3.16,0.808,fiziksel
7.65,0.3,413.0,21.4,2.08,0.754,fiziksel
6.73,1.7,281.0,26.3,1.95,0.503,fiziksel
6.12,1.18,104.0,17.7,3.03,0.26,biyolojik
6.77,0.89,75.0,29.2,3.55,0.426,biyolojik
7.21,1.45,115.0,31.8,2.73,0.318,biyolojik
6.81,0.58,140.0,15.2,2.83,0.291,biyolojik
7.23,1.51,357.0,47.7,2.58,0.418,fiziksel
6.15,0.85,293.0,1.7,3.46,0.213,biyolojik
4.91,1.01,187.0,8.4,3.31,0.253,biyolojik
8.87,2.88,357.0,8.0,3.72,0.371,kimyasal
6.6,1.19,273.0,25.4,2.2,0.436,fiziksel
7.38,0.87,241.0,35.0,1.65,0.791,fiziksel
6.95,1.4,338.0,24.9,1.94,0.653,fiziksel
7.22,2.2,196.0,27.6,3.14,0.455,biyolojik
7.44,1.35,320.0,12.9,1.37,0.45,kimyasal
6.89,0.75,337.0,8.7,2.76,0.299,biyolojik
8.48,3.48,369.0,8.0,3.19,0.242,kimyasal
7.49,1.02,167.0,50.8,2.41,0.84,fiziksel
7.84,2.61,283.0,3.4,3.15,0.291,kimyasal
6.84,1.1,226.0,19.0,3.62,0.289,biyolojik
7.65,1.8,258.0,15.2,3.27,0.34,kimyasal
8.69,3.5,350.0,21.1,3.46,0.424,kimyasal
6.12,1.02,500.0,29.8,1.04,0.718,fiziksel
6.25,1.25,428.0,34.0,2.01,0.463,fiziksel
8.26,3.5,301.0,6.6,2.46,0.434,kimyasal
7.67,0.3,362.0,35.3,1.38,0.599,fiziksel
7.58,0.48,478.0,39.2,2.12,0.775,fiziksel
6.9,1.68,484.0,2.3,4.07,0.156,normal
7.94,3.68,429.0,9.3,2.64,0.423,kimyasal
6.9,1.84,425.0,35.0,1.71,0.787,fiziksel
6.5,0.94,199.0,27.6,1.51,0.288,fiziksel
6.6,1.48,393.0,36.5,2.16,0.827,fiziksel
8.17,1.57,186.0,16.9,1.81,0.508,kimyasal
7.47,2.18,185.0,11.8,3.05,0.356,kimyasal
7.23,1.19,165.0,17.2,2.51,0.244,biyolojik
7.42,0.8,170.0,24.1,2.57,0.471,biyolojik
7.73,2.13,367.0,25.0,2.67,0.5,fiziksel
5.22,2.18,61.0,7.5,3.24,0.333,biyolojik
7.4,0.96,70.0,37.3,4.35,0.497,biyolojik
7.8,0.94,198.0,17.6,3.42,0.075,biyolojik
6.96,1.49,370.0,17.1,3.87,0.372,fiziksel
7.31,0.68,367.0,5.9,4.56,0.099,normal
6.45,0.62,435.0,22.1,2.94,0.063,biyolojik
6.62,1.82,305.0,40.8,2.41,1.0,fiziksel
7.46,2.26,325.0,9.4,1.93,0.444,kimyasal
7.33,0.84,193.0,13.0,2.34,0.592,kimyasal
6.94,0.72,407.0,4.3,3.64,0.22,normal
6.72,1.64,55.0,20.9,3.66,0.499,biyolojik
6.43,1.69,222.0,18.8,2.87,0.176,biyolojik
8.63,2.55,300.0,16.6,1.74,0.305,kimyasal
7.27,2.21,387.0,18.0,2.63,0.428,biyolojik
7.32,0.66,299.0,33.3,2.67,0.451,fiziksel
6.97,1.11,420.0,0.1,3.86,0.063,normal
6.55,1.25,446.0,45.7,2.24,0.242,fiziksel
7.35,1.44,363.0,19.7,2.31,0.296,kimyasal
7.36,0.88,392.0,1.2,3.96,0.143,normal
5.58,1.58,219.0,4.8,3.25,0.112,biyolojik
6.33,1.39,372.0,37.2,1.09,0.38,fiziksel
7.96,2.61,212.0,11.4,2.64,0.322,biyolojik
7.7,1.68,334.0,11.5,2.79,0.362,biyolojik
8.86,2.05,271.0,5.2,2.03,0.44,kimyasal
8.29,3.92,412.0,19.7,3.08,0.67,kimyasal
8.11,0.56,372.0,31.9,1.25,0.365,fiziksel
8.17,3.16,403.0,11.5,3.12,0.22,kimyasal
7.07,1.58,239.0,26.7,2.29,0.426,biyolojik
6.59,1.4,328.0,52.8,2.96,0.774,fiziksel
5.73,0.9,164.0,20.9,3.69,0.417,biyolojik
7.06,1.69,277.0,12.7,3.34,0.306,biyolojik
5.92,1.77,226.0,28.1,3.55,0.499,biyolojik
7.28,1.45,222.0,21.2,0.55,0.152,fiziksel
6.62,0.74,371.0,50.0,1.83,0.725,fiziksel
6.62,0.82,321.0,25.6,2.86,0.721,fiziksel
7.52,1.35,370.0,54.7,2.59,0.886,fiziksel
7.15,1.14,413.0,23.5,2.95,0.448,fiziksel
7.45,1.1,276.0,40.8,3.08,0.515,fiziksel
6.32,1.29,261.0,35.2,3.13,0.66,fiziksel
7.39,2.34,340.0,5.9,1.87,0.466,kimyasal
8.01,1.62,287.0,6.9,3.3,0.353,kimyasal
5.14,1.47,234.0,18.2,2.85,0.323,biyolojik
6.13,1.25,131.0,12.9,3.13,0.359,biyolojik
5.57,1.88,171.0,16.5,3.91,0.342,biyolojik
7.47,1.52,206.0,31.7,2.49,0.396,fiziksel
7.05,1.19,446.0,0.0,4.58,0.123,normal
7.56,1.19,120.0,11.0,3.0,0.207,biyolojik
6.16,1.67,116.0,27.1,2.89,0.551,biyolojik
6.34,0.73,453.0,3.4,3.6,0.138,normal
7.79,0.95,189.0,26.4,2.6,0.866,fiziksel
6.58,1.85,398.0,38.2,2.21,0.52,fiziksel
8.36,3.17,264.0,0.6,1.79,0.399,kimyasal
6.13,0.31,474.0,37.2,2.84,0.708,fiziksel
6.27,0.9,485.0,2.3,3.99,0.127,normal
6.37,1.42,377.0,15.6,1.8,0.276,fiziksel
6.97,1.03,34.0,28.2,3.35,0.292,biyolojik
5.65,1.71,52.0,9.2,3.35,0.416,biyolojik
9.04,2.93,361.0,18.4,2.63,0.044,kimyasal
6.82,1.26,222.0,3.3,3.83,0.083,normal
6.59,0.96,132.0,15.7,2.84,0.419,biyolojik
6.6,1.15,53.0,21.6,3.03,0.193,biyolojik
8.1,2.12,239.0,17.0,2.37,0.394,biyolojik
6.83,1.14,271.0,15.5,2.9,0.343,normal
7.71,1.57,252.0,31.5,3.23,0.441,biyolojik
8.58,2.38,392.0,9.5,3.87,0.606,kimyasal
7.33,0.54,434.0,36.6,1.44,0.483,fiziksel
6.84,0.73,449.0,3.1,4.05,0.076,normal
8.45,3.85,311.0,3.4,2.31,0.02,kimyasal
7.17,1.3,198.0,21.3,3.23,0.331,biyolojik
8.61,2.5,277.0,7.9,2.83,0.368,kimyasal
6.7,0.98,404.0,21.0,1.47,0.302,fiziksel
7.21,2.47,293.0,22.0,2.25,0.466,kimyasal
6.22,0.81,357.0,3.7,0.51,0.356,fiziksel
7.39,1.95,288.0,8.8,3.03,0.255,biyolojik
6.9,1.96,131.0,25.4,3.99,0.346,biyolojik
7.24,0.83,324.0,1.5,4.18,0.234,normal
6.38,1.87,329.0,5.6,3.39,0.204,biyolojik
6.88,1.62,259.0,2.6,2.28,0.19,biyolojik
6.16,1.24,231.0,18.9,2.57,0.377,biyolojik
8.21,3.07,293.0,8.5,2.83,0.394,kimyasal
6.83,1.06,118.0,20.7,2.67,0.183,biyolojik
9.15,1.61,373.0,14.0,3.98,0.947,kimyasal
8.17,2.73,352.0,10.8,2.26,0.414,kimyasal
7.72,1.52,325.0,11.5,3.52,0.178,biyolojik
6.67,2.53,387.0,26.4,2.48,0.49,biyolojik
6.25,1.3,500.0,31.9,1.69,0.367,fiziksel
5.37,1.04,209.0,37.7,3.11,0.263,biyolojik
8.93,3.12,408.0,10.9,2.12,0.518,kimyasal
8.13,2.84,255.0,8.0,3.2,0.307,kimyasal
6.55,0.72,284.0,4.2,3.53,0.127,normal
6.83,1.43,232.0,33.1,3.17,0.276,biyolojik
7.65,2.49,248.0,12.7,3.05,0.254,kimyasal
6.94,1.38,386.0,3.8,4.23,0.067,normal
6.42,1.05,345.0,9.6,4.57,0.116,normal
8.71,2.44,389.0,5.1,2.56,0.252,kimyasal
7.17,1.4,344.0,4.3,4.02,0.181,normal
6.59,2.61,147.0,16.8,2.92,0.125,biyolojik
6.87,2.46,146.0,38.2,2.67,0.36,biyolojik
7.01,1.12,291.0,31.2,2.72,0.287,biyolojik
6.26,1.32,287.0,12.5,1.99,0.469,fiziksel
6.73,1.57,322.0,13.5,3.1,0.28,biyolojik
7.37,0.93,341.0,35.7,0.74,0.748,fiziksel
8.72,3.4,343.0,16.6,3.09,0.582,kimyasal
6.68,1.37,305.0,45.3,1.0,0.379,fiziksel
7.27,1.71,405.0,2.1,4.19,0.032,normal
6.69,1.07,150.0,16.9,3.11,0.508,biyolojik
6.62,1.31,381.0,23.8,0.32,0.554,fiziksel
6.57,1.09,187.0,38.6,1.95,0.659,biyolojik
5.38,1.38,198.0,33.2,2.69,0.399,biyolojik
6.14,1.3,341.0,27.5,0.71,0.887,fiziksel
8.24,3.39,500.0,12.8,2.06,0.584,kimyasal
8.04,3.29,303.0,11.5,2.67,0.257,kimyasal
7.59,1.09,333.0,38.9,1.64,0.472,fiziksel
7.13,1.67,332.0,38.9,2.56,0.705,fiziksel
5.94,1.24,271.0,13.4,2.78,0.042,biyolojik
6.99,1.06,395.0,22.9,0.85,0.366,fiziksel
6.98,1.61,441.0,33.8,2.77,0.714,fiziksel
8.0,2.3,367.0,14.5,1.68,0.461,kimyasal
7.12,1.79,6.0,19.4,3.68,0.383,biyolojik
8.6,1.96,368.0,11.7,2.87,0.55,kimyasal
7.0,1.28,89.0,27.3,2.62,0.461,biyolojik
6.78,0.55,134.0,24.9,3.06,0.145,biyolojik
7.26,1.13,256.0,33.5,1.55,0.608,fiziksel
8.17,3.39,360.0,9.4,2.91,0.286,kimyasal
6.86,2.24,377.0,19.3,2.81,0.487,kimyasal
7.25,0.71,421.0,55.0,2.74,0.931,fiziksel
6.08,0.91,241.0,23.4,1.61,0.493,biyolojik
8.52,3.5,392.0,9.8,3.51,0.387,kimyasal
8.75,3.12,313.0,8.8,1.82,0.232,kimyasal
6.91,1.51,116.0,30.4,3.71,0.246,biyolojik
7.93,1.64,424.0,18.9,1.81,0.447,kimyasal
8.51,2.52,296.0,2.1,2.84,0.616,kimyasal
7.06,1.54,243.0,25.4,2.36,0.112,biyolojik
7.34,0.3,347.0,5.9,3.5,0.098,normal
7.31,2.64,261.0,7.7,2.22,0.251,biyolojik
7.46,1.43,196.0,9.4,3.69,0.493,kimyasal
6.11,1.65,39.0,25.5,3.55,0.426,biyolojik
5.89,1.8,182.0,40.3,3.27,0.138,biyolojik
6.66,1.3,182.0,15.3,1.85,0.155,biyolojik
6.8,1.19,259.0,51.6,2.42,0.694,fiziksel
7.83,1.49,409.0,60.0,2.07,0.898,fiziksel
5.96,1.13,184.0,38.7,3.31,0.415,biyolojik
7.01,1.22,75.0,7.9,3.24,0.549,biyolojik
8.24,1.98,313.0,7.7,1.74,0.189,kimyasal
6.49,1.79,227.0,24.0,2.8,0.412,biyolojik
7.53,2.57,232.0,17.9,2.57,0.369,kimyasal
6.68,1.1,163.0,20.6,2.83,0.058,biyolojik
7.52,1.57,253.0,23.7,3.93,0.378,biyolojik
8.33,2.26,272.0,11.0,2.15,0.377,kimyasal
6.59,1.87,213.0,20.1,2.07,0.334,biyolojik
6.14,2.66,149.0,20.7,1.81,0.054,biyolojik
7.56,0.36,434.0,0.6,3.73,0.045,normal
7.61,1.22,404.0,11.2,3.25,0.371,normal
6.9,1.35,244.0,32.5,1.57,0.466,fiziksel
6.9,1.04,221.0,36.1,4.18,0.4,biyolojik
6.97,2.46,304.0,4.6,2.76,0.032,kimyasal
7.3,1.33,396.0,12.2,1.13,0.404,fiziksel
7.58,1.99,249.0,20.7,2.75,0.354,biyolojik
7.62,1.22,265.0,20.7,2.97,0.285,biyolojik
7.62,1.26,313.0,5.1,1.02,0.319,fiziksel
7.69,2.54,312.0,18.4,2.35,0.439,kimyasal
7.79,1.69,291.0,28.8,0.77,0.785,fiziksel
7.96,0.87,358.0,0.0,3.27,0.159,normal
6.84,1.69,363.0,43.5,2.32,0.651,fiziksel
7.4,2.25,146.0,23.1,2.91,0.159,biyolojik
6.95,1.31,355.0,23.3,1.79,0.412,fiziksel
6.15,0.8,418.0,26.2,0.56,0.879,fiziksel
6.52,1.09,231.0,36.7,2.87,0.287,biyolojik
6.14,0.82,288.0,30.7,1.48,0.456,fiziksel
7.32,1.08,352.0,29.6,0.91,0.73,fiziksel
6.27,1.41,390.0,36.0,2.88,0.293,biyolojik
6.41,0.79,388.0,60.0,3.34,0.6,fiziksel
5.94,1.44,193.0,23.8,2.85,0.489,biyolojik
7.57,1.72,236.0,10.4,2.93,0.339,biyolojik
6.31,1.46,342.0,5.4,3.41,0.054,normal
6.88,1.58,365.0,54.7,2.06,0.862,fiziksel
7.26,0.59,424.0,18.1,1.08,0.546,fiziksel
7.76,3.3,358.0,3.1,2.86,0.279,kimyasal
6.35,0.82,92.0,5.9,2.46,0.203,biyolojik
5.01,0.57,150.0,23.7,3.14,0.326,biyolojik
8.72,2.3,352.0,0.8,0.66,0.419,kimyasal
5.64,1.91,61.0,43.7,3.19,0.535,biyolojik
8.32,3.78,292.0,17.5,3.23,0.688,kimyasal
6.65,1.54,216.0,9.7,2.97,0.324,biyolojik
6.48,2.37,130.0,36.9,3.33,0.328,biyolojik
5.86,1.43,421.0,1.5,4.62,0.029,normal
7.74,1.63,235.0,23.0,2.72,0.285,biyolojik
8.43,2.93,405.0,6.2,3.53,0.381,kimyasal
4.7,1.87,121.0,17.2,2.79,0.045,biyolojik
6.58,1.14,328.0,2.7,3.43,0.208,biyolojik
6.98,1.5,195.0,38.1,3.73,0.231,biyolojik
6.31,1.0,333.0,25.2,0.54,0.46,fiziksel
7.2,0.71,343.0,5.7,2.09,0.407,biyolojik
6.48,0.95,132.0,5.9,3.08,0.177,biyolojik
5.83,2.51,141.0,15.8,3.55,0.421,biyolojik
7.84,3.1,182.0,12.5,2.62,0.328,kimyasal
7.28,1.58,293.0,37.4,2.33,0.905,fiziksel
6.91,1.46,140.0,34.8,3.71,0.405,biyolojik
5.65,1.0,434.0,0.9,3.39,0.129,normal
7.61,1.77,29.0,7.6,3.47,0.125,biyolojik
7.65,1.93,159.0,20.4,2.36,0.405,biyolojik
8.19,1.62,294.0,17.1,3.84,0.288,biyolojik
7.96,3.04,198.0,14.1,3.9,0.455,kimyasal
8.14,2.77,260.0,14.3,2.69,0.385,kimyasal
6.87,0.59,430.0,60.0,1.66,0.851,fiziksel
7.68,1.61,350.0,60.0,3.62,1.0,fiziksel
8.38,2.36,205.0,1.1,2.22,0.508,kimyasal
8.11,1.85,412.0,2.9,3.73,0.083,normal
6.91,1.6,314.0,17.6,1.34,0.194,fiziksel
7.86,1.34,116.0,7.5,2.08,0.219,biyolojik
7.16,0.88,376.0,6.9,3.03,0.483,kimyasal
7.81,0.54,391.0,3.1,3.05,0.02,normal
6.87,1.32,278.0,26.0,2.81,0.27,biyolojik
6.88,1.59,276.0,27.2,2.09,0.616,fiziksel
6.96,0.99,316.0,3.6,3.67,0.051,normal
8.44,2.06,259.0,11.1,2.34,0.573,kimyasal
7.4,1.43,340.0,37.0,2.06,0.759,fiziksel
9.12,3.94,400.0,8.1,1.21,0.547,kimyasal
7.56,1.4,277.0,16.5,2.8,0.63,fiziksel
6.9,1.08,224.0,20.6,3.02,0.4,biyolojik
6.69,1.47,478.0,52.1,1.78,0.639,fiziksel
7.23,1.95,292.0,38.9,2.58,0.552,fiziksel
6.76,0.46,123.0,22.5,3.67,0.568,biyolojik
8.86,2.04,400.0,3.4,2.64,0.639,kimyasal
8.19,1.77,307.0,6.6,2.35,0.285,kimyasal
7.08,1.18,197.0,6.4,3.87,0.102,normal
7.41,1.98,219.0,12.4,2.15,0.275,kimyasal
9.13,3.39,253.0,19.2,2.1,0.371,kimyasal
6.41,1.48,326.0,39.3,2.23,0.55,fiziksel
7.31,1.22,427.0,23.7,0.87,0.547,fiziksel
5.99,1.49,175.0,23.7,2.96,0.491,biyolojik
6.88,1.38,270.0,26.4,1.86,0.337,fiziksel
6.45,2.24,-11.0,27.2,3.33,0.39,biyolojik
6.98,0.88,207.0,4.0,2.51,0.351,biyolojik
6.48,1.38,332.0,31.1,0.84,0.538,fiziksel
6.75,1.33,240.0,37.5,4.29,0.498,biyolojik
7.22,2.32,115.0,8.5,3.06,0.231,biyolojik
7.15,1.88,159.0,16.0,4.15,0.581,biyolojik
5.94,1.34,398.0,2.2,3.92,0.021,normal
7.21,0.97,241.0,40.5,1.65,0.572,fiziksel
6.77,1.73,361.0,56.3,2.29,0.535,fiziksel
7.54,1.74,184.0,24.5,2.78,0.309,biyolojik
8.25,2.46,500.0,10.5,2.74,0.455,kimyasal
7.03,2.6,258.0,22.4,2.52,0.502,kimyasal
6.53,1.07,301.0,50.7,1.02,0.76,fiziksel
6.26,1.7,256.0,31.0,3.34,0.426,biyolojik
7.02,1.19,426.0,9.8,0.67,0.505,fiziksel
8.4,2.07,238.0,12.6,2.81,0.316,kimyasal
7.51,2.03,435.0,14.3,2.62,0.524,kimyasal
7.74,0.91,228.0,29.0,3.06,0.303,biyolojik
6.09,2.08,230.0,33.6,3.3,0.263,biyolojik
7.41,1.07,415.0,51.2,2.77,0.98,fiziksel
7.15,1.74,371.0,2.6,3.66,0.08,normal
7.54,0.79,402.0,3.0,4.2,0.144,normal
6.75,1.41,432.0,18.3,1.52,0.233,fiziksel
7.57,0.56,327.0,46.7,2.87,0.897,fiziksel
6.89,0.78,403.0,3.8,3.45,0.088,normal
6.38,1.97,420.0,37.2,3.39,0.444,biyolojik
6.45,1.99,120.0,25.4,4.08,0.489,biyolojik
6.83,1.37,177.0,12.0,2.34,0.376,biyolojik
7.17,1.18,344.0,30.8,1.39,0.862,fiziksel
6.0,2.46,133.0,8.2,2.2,0.15,biyolojik
6.95,1.05,489.0,29.4,1.23,0.633,fiziksel
6.46,1.01,306.0,3.1,4.49,0.128,normal
6.83,1.24,271.0,8.9,3.54,0.264,biyolojik
8.15,3.9,251.0,16.6,2.4,0.377,kimyasal
5.72,1.87,164.0,22.0,2.69,0.28,biyolojik
7.08,1.03,371.0,46.2,3.46,0.597,fiziksel
7.04,0.93,486.0,52.7,3.1,1.0,fiziksel
7.78,1.6,334.0,1.2,1.3,0.354,fiziksel
7.51,1.68,397.0,17.0,3.03,0.395,biyolojik
6.89,1.28,186.0,28.3,3.48,0.279,biyolojik
7.7,1.88,109.0,22.8,2.95,0.484,biyolojik
8.0,1.67,373.0,2.0,3.52,0.313,kimyasal
7.02,1.74,357.0,15.6,1.46,0.189,fiziksel
8.85,3.49,366.0,21.5,2.85,0.081,kimyasal
6.37,0.75,25.0,30.3,3.51,0.381,biyolojik
8.0,0.87,189.0,19.4,2.15,0.43,biyolojik
7.08,1.31,339.0,37.3,1.01,0.399,fiziksel
6.7,1.8,390.0,43.5,1.22,0.734,fiziksel
7.12,1.02,275.0,19.6,2.78,0.243,fiziksel
6.15,1.17,130.0,20.7,4.1,0.481,biyolojik
6.41,1.38,281.0,37.6,2.52,0.877,fiziksel
6.94,1.26,417.0,1.7,3.78,0.146,normal
8.23,4.5,349.0,12.5,3.17,0.401,kimyasal
8.41,2.54,191.0,6.2,3.4,0.643,kimyasal
5.82,1.68,113.0,11.3,2.53,0.261,biyolojik
